Symbol,Date,Close
DIS,3/3/2015,106.35
DIS,3/4/2015,105.57
DIS,3/5/2015,105.03
DIS,3/6/2015,103.82
DIS,3/9/2015,105.26
DIS,3/10/2015,103.09
DIS,3/11/2015,102.89
DIS,3/12/2015,107.17
DIS,3/13/2015,106.44
DIS,3/16/2015,107.37
DIS,3/17/2015,106.96
DIS,3/18/2015,107.97
DIS,3/19/2015,107.37
DIS,3/20/2015,108.43
DIS,3/23/2015,108.22
DIS,3/24/2015,107.11
DIS,3/25/2015,105
DIS,3/26/2015,105.24
DIS,3/27/2015,105.48
DIS,3/30/2015,106.12
DIS,3/31/2015,104.89
DIS,4/1/2015,105.44
DIS,4/2/2015,106
DIS,4/6/2015,105.63
DIS,4/7/2015,105.43
DIS,4/8/2015,106.36
DIS,4/9/2015,106.77
DIS,4/10/2015,106.95
DIS,4/13/2015,106.51
DIS,4/14/2015,106.66
DIS,4/15/2015,106.98
DIS,4/16/2015,108.1
DIS,4/17/2015,106.69
DIS,4/20/2015,108.22
DIS,4/21/2015,107.68
DIS,4/22/2015,107.94
DIS,4/23/2015,109
DIS,4/24/2015,109.53
DIS,4/27/2015,110.16
DIS,4/28/2015,109.92
DIS,4/29/2015,109.81
DIS,4/30/2015,108.72
DIS,5/1/2015,110.52
DIS,5/4/2015,111.03
DIS,5/5/2015,110.81
DIS,5/6/2015,109.72
DIS,5/7/2015,109.26
DIS,5/8/2015,110.11
DIS,5/11/2015,108.6
DIS,5/12/2015,109.24
DIS,5/13/2015,109.19
DIS,5/14/2015,109.93
DIS,5/15/2015,110.3
DIS,5/18/2015,110.33
DIS,5/19/2015,110.56
DIS,5/20/2015,110.2
DIS,5/21/2015,110.39
DIS,5/22/2015,110.26
DIS,5/26/2015,109.44
DIS,5/27/2015,110.37
DIS,5/28/2015,110.53
DIS,5/29/2015,110.37
DIS,6/1/2015,110.96
DIS,6/2/2015,110.75
DIS,6/3/2015,111.17
DIS,6/4/2015,110.3
DIS,6/5/2015,110.3
DIS,6/8/2015,109.29
DIS,6/9/2015,108.52
DIS,6/10/2015,110
DIS,6/11/2015,110.62
DIS,6/12/2015,109.95
DIS,6/15/2015,110.18
DIS,6/16/2015,111.06
DIS,6/17/2015,111.49
DIS,6/18/2015,113.22
DIS,6/19/2015,112.62
DIS,6/22/2015,113.53
DIS,6/23/2015,114.41
DIS,6/24/2015,113.77
DIS,6/25/2015,114.45
DIS,6/26/2015,114.99
DIS,6/29/2015,113.05
DIS,6/30/2015,114.14
DIS,7/1/2015,115.13
DIS,7/2/2015,114.97
DIS,7/6/2015,115.7
DIS,7/7/2015,117.1
DIS,7/8/2015,115.19
DIS,7/9/2015,115.6
DIS,7/10/2015,116.44
DIS,7/13/2015,118.05
DIS,7/14/2015,117.85
DIS,7/15/2015,118.3
DIS,7/16/2015,119.07
DIS,7/17/2015,118.86
DIS,7/20/2015,119.58
DIS,7/21/2015,119.31
DIS,7/22/2015,119.33
DIS,7/23/2015,118.8
DIS,7/24/2015,118.91
DIS,7/27/2015,118.25
DIS,7/28/2015,118.46
DIS,7/29/2015,119.84
DIS,7/30/2015,120.03
DIS,7/31/2015,120
DIS,8/3/2015,121.12
DIS,8/4/2015,121.69
DIS,8/5/2015,110.53
DIS,8/6/2015,108.55
DIS,8/7/2015,109.35
DIS,8/10/2015,111
DIS,8/11/2015,108
DIS,8/12/2015,106.99
DIS,8/13/2015,107.52
DIS,8/14/2015,107.16
DIS,8/17/2015,109.05
DIS,8/18/2015,106.94
DIS,8/19/2015,106.45
DIS,8/20/2015,100.02
DIS,8/21/2015,98.84
DIS,8/24/2015,95.36
DIS,8/25/2015,95.89
DIS,8/26/2015,99.23
DIS,8/27/2015,102.17
DIS,8/28/2015,102.48
DIS,8/31/2015,101.88
DIS,9/1/2015,99.51
DIS,9/2/2015,101.89
DIS,9/3/2015,101.99
DIS,9/4/2015,100.97
DIS,9/8/2015,104.01
DIS,9/9/2015,101.91
DIS,9/10/2015,102.6
DIS,9/11/2015,104.48
DIS,9/14/2015,103.82
DIS,9/15/2015,103.43
DIS,9/16/2015,103.96
DIS,9/17/2015,104.2
DIS,9/18/2015,102.84
DIS,9/21/2015,103.41
DIS,9/22/2015,102.49
DIS,9/23/2015,101.57
DIS,9/24/2015,100.62
DIS,9/25/2015,100.3
DIS,9/28/2015,98.49
DIS,9/29/2015,99.42
